Designator,Mid X,Mid Y,Rotation,Layer
C1,129.573592,-127.504965,90.0,bottom
C10,136.752116,-126.556159,0.0,bottom
C11,136.127986,-145.568271,315.0,bottom
C12,132.19274,-145.752566,225.0,bottom
C13,99.006596,-44.426125,180.0,bottom
C14,148.4375,-44.45625,180.0,bottom
C15,40.4875,-44.45625,180.0,bottom
C16,247.65625,-44.45625,180.0,bottom
C17,297.279198,-44.430678,180.0,bottom
C18,40.80125,-92.08125,0.0,bottom
C19,354.8125,-44.45625,180.0,bottom
C2,130.511463,-140.21393,315.0,bottom
C20,356.4,-91.2875,270.0,bottom
C21,354.8125,-130.18125,0.0,bottom
C22,198.195221,-44.430678,180.0,bottom
C23,305.12,-130.18125,0.0,bottom
C24,211.4575,-130.18125,0.0,bottom
C25,159.86375,-130.18125,0.0,bottom
C26,100.3325,-130.18125,0.0,bottom
C27,45.259773,-130.187052,0.0,bottom
C28,255.9075,-130.18125,0.0,bottom
C3,126.110496,-130.18125,0.0,bottom
C37,133.318182,-126.831497,90.0,bottom
C38,132.333074,-126.831497,90.0,bottom
C39,138.576995,-130.826087,180.0,bottom
C4,128.418486,-127.51554,90.0,bottom
C40,131.292539,-140.988431,315.0,bottom
C5,140.062541,-134.94375,180.0,bottom
C6,127.11317,-134.362673,0.0,bottom
C7,116.20125,-107.15625,180.0,bottom
C8,120.48818,-109.044875,90.0,bottom
C9,123.03125,-124.61875,0.0,bottom
D1,38.1,-37.846,90.0,bottom
D10,247.65,-37.846,90.0,bottom
D11,266.7,-37.846,90.0,bottom
D12,285.75,-37.846,90.0,bottom
D13,304.8,-37.846,90.0,bottom
D14,328.6125,-37.846,90.0,bottom
D15,347.6625,-37.846,90.0,bottom
D16,366.7125,-37.846,90.0,bottom
D17,38.1,-66.421,90.0,bottom
D18,57.15,-66.421,90.0,bottom
D19,76.2,-66.421,90.0,bottom
D2,76.2,-37.846,90.0,bottom
D20,95.25,-66.421,90.0,bottom
D21,114.3,-66.421,90.0,bottom
D22,133.35,-66.421,90.0,bottom
D23,152.4,-66.421,90.0,bottom
D24,171.45,-66.421,90.0,bottom
D25,190.5,-66.421,90.0,bottom
D26,209.55,-66.421,90.0,bottom
D27,228.6,-66.421,90.0,bottom
D28,247.65,-66.421,90.0,bottom
D29,266.7,-66.421,90.0,bottom
D3,95.25,-37.846,90.0,bottom
D30,295.275,-66.421,90.0,bottom
D31,328.6125,-66.421,90.0,bottom
D32,347.6625,-66.421,90.0,bottom
D33,366.7125,-66.421,90.0,bottom
D34,42.8625,-85.471,90.0,bottom
D35,66.675,-85.471,90.0,bottom
D36,85.725,-85.471,90.0,bottom
D37,104.775,-85.471,90.0,bottom
D38,123.825,-85.471,90.0,bottom
D39,142.875,-85.471,90.0,bottom
D4,114.3,-37.846,90.0,bottom
D40,161.925,-85.471,90.0,bottom
D41,180.975,-85.471,90.0,bottom
D42,200.025,-85.471,90.0,bottom
D43,219.075,-85.471,90.0,bottom
D44,238.125,-85.471,90.0,bottom
D45,257.175,-85.471,90.0,bottom
D46,276.225,-85.471,90.0,bottom
D47,300.0375,-85.471,90.0,bottom
D48,328.6125,-85.471,90.0,bottom
D49,347.6625,-85.471,90.0,bottom
D5,133.35,-37.846,90.0,bottom
D50,366.7125,-85.471,90.0,bottom
D51,45.24375,-104.521,90.0,bottom
D52,71.4375,-104.521,90.0,bottom
D53,90.4875,-104.521,90.0,bottom
D54,109.5375,-104.521,90.0,bottom
D55,128.5875,-104.521,90.0,bottom
D56,147.6375,-104.521,90.0,bottom
D57,166.6875,-104.521,90.0,bottom
D58,185.7375,-104.521,90.0,bottom
D59,204.7875,-104.521,90.0,bottom
D6,161.925,-37.846,90.0,bottom
D60,223.8375,-104.521,90.0,bottom
D61,242.8875,-104.521,90.0,bottom
D62,261.9375,-104.521,90.0,bottom
D63,292.89375,-104.521,90.0,bottom
D64,50.00625,-123.571,90.0,bottom
D65,80.9625,-123.571,90.0,bottom
D66,100.0125,-123.571,90.0,bottom
D67,119.0625,-123.571,90.0,bottom
D68,138.1125,-123.571,90.0,bottom
D69,157.1625,-123.571,90.0,bottom
D7,180.975,-37.846,90.0,bottom
D70,176.2125,-123.571,90.0,bottom
D71,195.2625,-123.571,90.0,bottom
D72,214.3125,-123.571,90.0,bottom
D73,233.3625,-123.571,90.0,bottom
D74,252.4125,-123.571,90.0,bottom
D75,288.13125,-123.571,90.0,bottom
D76,347.6625,-123.571,90.0,bottom
D77,40.48125,-142.621,90.0,bottom
D78,64.29375,-142.621,90.0,bottom
D79,88.10625,-142.621,90.0,bottom
D8,200.025,-37.846,90.0,bottom
D80,159.54375,-142.621,90.0,bottom
D81,230.98125,-142.621,90.0,bottom
D82,254.79375,-142.621,90.0,bottom
D83,278.60625,-142.621,90.0,bottom
D84,302.41875,-142.621,90.0,bottom
D85,328.6125,-142.621,90.0,bottom
D86,347.6625,-142.621,90.0,bottom
D87,366.7125,-142.621,90.0,bottom
D9,219.075,-37.846,90.0,bottom
